iter	Passed	Remaining
0	137	13641
1	152	7450
2	165	5361
3	180	4326
4	183	3493
5	198	3102
6	205	2728
7	217	2501
8	231	2342
9	233	2097
10	248	2009
11	252	1849
12	266	1782
13	280	1721
14	294	1668
15	296	1555
16	310	1515
17	312	1424
18	327	1394
19	340	1362
20	343	1290
21	358	1270
22	372	1246
23	372	1180
24	385	1156
25	401	1143
26	413	1119
27	427	1100
28	441	1079
29	456	1065
30	469	1045
31	484	1029
32	498	1011
33	512	994
34	527	979
35	542	964
36	553	942
37	568	926
38	581	909
39	594	891
40	595	856
41	607	838
42	622	825
43	637	811
44	650	795
45	654	768
46	668	754
47	682	739
48	695	723
49	708	708
50	723	695
51	738	681
52	755	669
53	757	645
54	771	631
55	776	609
56	793	598
57	806	583
58	821	571
59	833	555
60	848	542
61	862	528
62	876	514
63	890	500
64	904	486
65	916	472
66	930	458
67	945	444
68	959	431
69	974	417
70	988	403
71	1000	389
72	1015	375
73	1016	356
74	1029	343
75	1040	328
76	1055	315
77	1069	301
78	1082	287
79	1097	274
80	1110	260
81	1123	246
82	1136	232
83	1148	218
84	1161	204
85	1175	191
86	1189	177
87	1203	164
88	1218	150
89	1233	137
90	1248	123
91	1263	109
92	1278	96
93	1291	82
94	1305	68
95	1319	54
96	1335	41
97	1349	27
98	1362	13
99	1377	0
